,,STANDARD,OVERCLOCK
,,,
host,64,0.007393,0.004531
,128,0.046936,0.039918
,256,0.332956,0.32544
,512,6.253224,6.231533
,1024,79.956562,77.363681
,,,
block,64,0.070405,0.037803
,128,0.070583,0.035364
,256,0.086718,0.039907
,512,0.233496,0.056054
,1024,0.743662,0.170578
,2048,1.910384,1.049689
,4096,8.732062,8.412261
,8192,72.712839,76.738914
,,,
ShMem,64,0.065736,0.03625
,128,0.082021,0.038077
,256,0.133802,0.045815
,512,0.578477,0.093403
,1024,1.293365,0.457771
,2048,4.223719,3.367181
,4096,26.850423,26.441782
,,,
Stream,64,0.002678,0.001062
,128,0.009773,0.002028
,256,0.033647,0.008476
,512,0.10554,0.051463
,1024,0.724951,0.374774
,2048,3.931404,2.906704
,4096,23.678027,22.988872
